batch_number,first_contact_date,link_sent_date,agreement_reached_date
BATCH-0,07/01/21 15:47,14/01/21 20:42,
BATCH-0,07/01/21 15:49,,
BATCH-0,07/01/21 15:49,11/01/21 08:57,26/01/21 15:50
BATCH-0,07/01/21 15:49,26/01/21 14:31,
BATCH-0,07/01/21 15:50,,
BATCH-0,07/01/21 15:50,19/01/21 17:59,19/01/21 19:17
BATCH-0,07/01/21 15:50,21/01/21 17:53,
BATCH-0,12/01/21 17:37,,17/02/21 20:23
BATCH-0,14/01/21 13:42,,
BATCH-0,14/01/21 15:53,,
BATCH-0,14/01/21 15:53,14/01/21 20:42,
BATCH-0,14/01/21 15:53,,
BATCH-0,14/01/21 15:53,14/01/21 20:42,
BATCH-0,14/01/21 15:54,,
BATCH-0,14/01/21 15:54,18/01/21 17:04,
BATCH-0,14/01/21 15:54,15/01/21 15:39,08/02/21 20:40
BATCH-0,14/01/21 15:54,09/03/21 15:49,09/03/21 16:04
BATCH-0,14/01/21 15:54,04/02/21 20:52,
BATCH-0,14/01/21 15:54,15/03/21 22:04,
BATCH-0,14/01/21 15:54,,
BATCH-0,14/01/21 15:54,15/01/21 14:53,
BATCH-0,14/01/21 20:43,19/01/21 13:52,
BATCH-0,21/01/21 19:56,03/02/21 15:42,
BATCH-0,21/01/21 19:56,29/01/21 17:25,
BATCH-0,21/01/21 19:56,01/02/21 19:02,
BATCH-0,21/01/21 19:56,22/01/21 14:29,
BATCH-0,21/01/21 19:56,22/01/21 15:07,22/01/21 19:04
BATCH-0,21/01/21 19:57,26/01/21 14:57,
BATCH-0,21/01/21 19:57,,
BATCH-0,21/01/21 19:57,26/01/21 14:44,
BATCH-0,21/01/21 19:57,22/01/21 17:53,08/02/21 17:24
BATCH-0,21/01/21 19:57,,
BATCH-0,21/01/21 19:57,02/02/21 19:16,
BATCH-0,21/01/21 19:57,28/01/21 17:57,
BATCH-0,21/01/21 19:57,01/02/21 19:02,06/04/21 19:36
BATCH-0,26/01/21 15:18,04/02/21 22:17,
BATCH-0,29/01/21 17:13,01/02/21 19:02,
BATCH-0,29/01/21 17:13,01/02/21 20:59,13/04/21 13:27
BATCH-0,29/01/21 17:14,29/01/21 18:17,29/01/21 18:37
BATCH-0,29/01/21 17:14,09/02/21 19:06,
BATCH-0,29/01/21 17:14,18/02/21 16:47,
BATCH-0,29/01/21 17:14,09/03/21 15:49,25/03/21 17:36
BATCH-0,29/01/21 17:14,08/02/21 21:25,
BATCH-0,29/01/21 17:14,01/02/21 19:02,
BATCH-0,29/01/21 17:14,04/02/21 21:07,
BATCH-0,29/01/21 17:14,09/02/21 18:10,15/02/21 15:41
BATCH-0,29/01/21 17:14,02/02/21 15:59,08/02/21 17:24
BATCH-0,29/01/21 17:14,08/02/21 21:27,10/02/21 21:24
BATCH-0,29/01/21 17:14,10/02/21 21:22,
BATCH-0,29/01/21 17:14,02/02/21 16:39,
BATCH-0,29/01/21 17:14,04/02/21 21:03,12/02/21 17:48
BATCH-0,29/01/21 17:14,01/02/21 19:02,
BATCH-0,29/01/21 17:14,01/02/21 19:02,04/02/21 18:06
BATCH-0,29/01/21 17:14,09/02/21 19:13,
BATCH-0,29/01/21 17:14,01/02/21 19:02,04/02/21 18:59
BATCH-0,29/01/21 17:14,01/02/21 19:02,
BATCH-0,29/01/21 17:15,04/02/21 19:39,
BATCH-0,29/01/21 17:15,01/02/21 19:02,26/02/21 14:47
BATCH-0,01/02/21 18:26,25/02/21 20:29,
